sample,nombre,fertilizer,tratamiento,estudio,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method,experiment
luciana_29,Bk1,otherBokashi,otherBokashi,2,,,,tomato,7.46,4.154,,soil,drip,
luciana_30,Bk2,otherBokashi,otherBokashi,2,,,,tomato,7.64,4.221,,soil,drip,
luciana_31,Bk3,otherBokashi,otherBokashi,2,,,,tomato,7.74,3.752,,soil,drip,
luciana_20,Cpst1,otherComposta,otherComposta,2,,,,tomato,7.95,4.221,,soil,drip,
luciana_21,Cpst2,otherComposta,otherComposta,2,,,,tomato,7.55,4.457,,soil,drip,
luciana_33,Cpst3,otherComposta,otherComposta,2,,,,tomato,7.83,4.656,,soil,drip,
luciana_36,Quí1,otherQuimico,otherQuimico,2,,,,tomato,7.44,2.04,,soil,drip,
luciana_22,Quí2,otherQuimico,otherQuimico,2,,,,tomato,7.87,2.211,,soil,drip,
luciana_23,Quí3,otherQuimico,otherQuimico,2,,,,tomato,8.08,2.11,,soil,drip,
luciana_37,Te2,otherTestigo,otherTestigo,2,,,,,8.1,3.283,,soil,drip,
