sample,nombre,fertilizer,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method
luciana_09,BAB1_S5,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip
luciana_10,BAB2_S6,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip
luciana_11,BAB3_S7,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip
luciana_12,BAB4_S8,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip
luciana_14,CeAB1_S9,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip
luciana_15,CeAB2_S10,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip
luciana_16,CeAB3_S11,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip
luciana_32,CeAB4,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,cempazuchitl,,,,soil,drip
luciana_02,JAB1_S5,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip
luciana_17,JAB2_S5,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip
luciana_03,JAB3_S6,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip
luciana_04,JAB4_S7,Compost,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip
luciana_05,JCB1_S1,phosphonitrate,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip
luciana_06,JCB2_S2,phosphonitrate,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip
luciana_07,JCB3_S3,phosphonitrate,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip
luciana_08,JCB4_S4,phosphonitrate,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip
luciana_01,BIB1_S8,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip
luciana_13,BIB2_S4,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip
luciana_27,BIB3,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip
luciana_28,BIB4,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip
luciana_18,JIB1,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip
luciana_19,JIB2,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip
luciana_34,JIB3,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip
luciana_35,JIB4,phosphonitrate_compost,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,tomato,,,,soil,drip
luciana_26,BF1,,,,,,,,22.5,water,
luciana_29,Bk1,,,,,tomato,7.46,4.154,,soil,drip
luciana_30,Bk2,,,,,tomato,7.64,4.221,,soil,drip
luciana_31,Bk3,,,,,tomato,7.74,3.752,,soil,drip
luciana_20,Cpst1,,,,,tomato,7.95,4.221,,soil,drip
luciana_21,Cpst2,,,,,tomato,7.55,4.457,,soil,drip
luciana_33,Cpst3,,,,,tomato,7.83,4.656,,soil,drip
luciana_36,Quí1,,,,,tomato,7.44,2.04,,soil,drip
luciana_22,Quí2,,,,,tomato,7.87,2.211,,soil,drip
luciana_23,Quí3,,,,,tomato,8.08,2.11,,soil,drip
luciana_37,Te2,,,,,,8.1,3.283,,soil,drip
luciana_38,TK3,,,,,,,,22.5,water,
