sample,total_reads,observed,shannon,simpson,pielou_evenness,dataset,source_columns,databases_detected,nombre,fertilizer,tratamiento,estudio,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method,experiment
luciana_01,299603.0,65100,9.576971557549621,0.9994124215156966,0.8640606464638212,suelos1,luciana_01_EuPathDB;luciana_01_GTDB;luciana_01_PlusPFP,GTDB;PlusPFP;EuPathDB,BIB1_S8,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_02,783435.0,94626,9.7387372388791,0.9993652594691893,0.8499740623029169,suelos1,luciana_02_EuPathDB;luciana_02_GTDB;luciana_02_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_03,537074.0,83008,9.656433364972928,0.9992516732107741,0.8525378051039898,suelos1,luciana_03_EuPathDB;luciana_03_GTDB;luciana_03_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB3_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_04,311784.0,67675,9.64551319009178,0.9994431842139206,0.8672094738302304,suelos1,luciana_04_EuPathDB;luciana_04_GTDB;luciana_04_PlusPFP,GTDB;PlusPFP;EuPathDB,JAB4_S7,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_05,1074170.0,38210,6.378527303714552,0.9799890420188483,0.6045508909603221,suelos1,luciana_05_EuPathDB;luciana_05_GTDB;luciana_05_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB1_S1,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_06,913811.0,22347,6.335894178019962,0.9812649734023441,0.6326753687405062,suelos1,luciana_06_EuPathDB;luciana_06_GTDB;luciana_06_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB2_S2,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_07,982637.0,53528,6.839957679832497,0.983897063109621,0.6282129599142336,suelos1,luciana_07_EuPathDB;luciana_07_GTDB;luciana_07_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB3_S3,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_08,1054475.0,52501,7.622364184494902,0.9920442742585358,0.7013205890174791,suelos1,luciana_08_EuPathDB;luciana_08_GTDB;luciana_08_PlusPFP,GTDB;PlusPFP;EuPathDB,JCB4_S4,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_09,455756.0,24317,7.378743937730682,0.9921202098202431,0.7306460413786476,suelos1,luciana_09_EuPathDB;luciana_09_GTDB;luciana_09_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_10,348954.0,27596,7.230077907665918,0.9899682427859096,0.7070686177080795,suelos1,luciana_10_EuPathDB;luciana_10_GTDB;luciana_10_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB2_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_11,574529.0,42909,7.384091054488559,0.9906834658815394,0.6922474902652808,suelos1,luciana_11_EuPathDB;luciana_11_GTDB;luciana_11_PlusPFP,GTDB;PlusPFP;EuPathDB,BAB3_S7,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
