sample,source_columns,databases_detected,dataset,nombre,fertilizer,tratamiento,estudio,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method,experiment
luciana_01,luciana_01_EuPathDB;luciana_01_GTDB;luciana_01_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,BIB1_S8,phosphonitrate_compost,Integrado,1,Manzate_Clorotalonil,Beauveria_Dipel_Trichoderma_Decis_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_02,luciana_02_EuPathDB;luciana_02_GTDB;luciana_02_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_03,luciana_03_EuPathDB;luciana_03_GTDB;luciana_03_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JAB3_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_04,luciana_04_EuPathDB;luciana_04_GTDB;luciana_04_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JAB4_S7,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,tomato,,,,soil,drip,1.0
luciana_05,luciana_05_EuPathDB;luciana_05_GTDB;luciana_05_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JCB1_S1,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_06,luciana_06_EuPathDB;luciana_06_GTDB;luciana_06_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JCB2_S2,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_07,luciana_07_EuPathDB;luciana_07_GTDB;luciana_07_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JCB3_S3,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_08,luciana_08_EuPathDB;luciana_08_GTDB;luciana_08_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,JCB4_S4,phosphonitrate,Convencional ,1,Manzate_Clorotalonil,Imidacloprid,Weeding,tomato,,,,soil,drip,1.0
luciana_09,luciana_09_EuPathDB;luciana_09_GTDB;luciana_09_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,BAB1_S5,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
luciana_10,luciana_10_EuPathDB;luciana_10_GTDB;luciana_10_PlusPFP,GTDB;PlusPFP;EuPathDB,suelos1,BAB2_S6,Compost,Agroecológico,1,sulfocalcium_Fungifree_bordocop,Beauveria_Dipel_Trichoderma_Bt,Weeding,brocoli,,,,soil,drip,1.0
