genus,luciana_01,luciana_02,luciana_03,luciana_04,luciana_05,luciana_06,luciana_07,luciana_08,luciana_09,luciana_10,luciana_11,luciana_12,luciana_13,luciana_14,luciana_15,luciana_16,luciana_17,luciana_18,luciana_19,luciana_27,luciana_28,luciana_32,luciana_34,luciana_35
g__JAJNBK01,0.79672104,1.268261,1.3368735,0.65526134,19.622684,19.071558,16.898508,11.332559,12.284643,13.896388,13.084805,0.8266097,0.4675574,0.07143863,0.37059468,0.15327483,1.2825027,0.93364644,0.77597713,0.2743294,0.96931356,0.43987417,1.0060389,0.8305248
g__Pseudomonas_E,0.73497266,0.34170035,0.34147996,0.3402997,0.03304877,0.03293898,0.034906074,0.040494084,0.047613196,0.024645083,0.032722455,0.7502572,0.5052166,1.9240731,48.85376,53.45177,0.48108515,0.4893207,0.38549346,0.4671582,0.39850074,2.3725462,0.48076767,0.49109292
g__,5.212565,5.177201,5.0899873,5.211621,2.1824293,2.2290165,2.6101193,3.2345004,2.6055608,2.283109,2.7495568,5.344802,5.6857424,2.4766133,2.2800708,2.0118606,6.122689,5.0056944,6.091795,5.584053,5.069505,4.3669705,5.1347938,5.586784
g__TH5893,0.62082154,0.89796853,0.9153301,0.57283247,12.219388,11.110174,11.154475,8.043149,6.325534,7.154238,8.30663,0.63358235,0.44766697,0.0607894,0.27800238,0.09541101,0.5749554,1.1333119,0.4778123,0.14367634,0.78306794,0.2926528,0.7279732,0.7908041
g__TH1177,0.36181214,0.43590087,0.40962696,0.23060837,10.572907,9.49912,9.033651,6.140117,9.915612,11.443342,9.336865,0.35978007,0.28005707,0.024293572,0.13917038,0.06660769,0.4939923,0.45698056,0.48405007,0.17980549,0.43890816,0.09531353,0.52234757,0.536832
g__PSRF01,6.452205,4.1210823,3.1010623,7.9917507,0.37638363,0.2434858,0.48491964,0.64249986,0.16895005,0.14615107,0.5561077,5.774431,5.813836,0.15152977,0.503111,0.14298794,3.1528678,3.5011742,3.7239418,4.6736827,7.03182,0.99519855,5.116927,5.6015286
g__Nitrososphaera,1.1471848,1.3156165,1.659734,0.9452056,9.262873,8.051884,8.447983,5.9390693,2.6990318,3.7735634,5.660637,1.2187778,0.60519904,0.087079704,0.48123175,0.16819084,1.0184925,0.3065285,0.53769475,0.52954394,1.1773885,0.53116035,1.192174,1.203659
g__Rubrobacter_D,3.7306037,4.9254885,5.9883738,2.7512636,0.03463139,0.023199545,0.039180286,0.024182651,0.0054853912,0.009743405,0.027152678,3.994131,1.573995,0.34443626,1.9197391,0.44876608,3.771238,1.5495156,1.9611514,1.1176928,2.6269464,4.0098805,3.4066286,2.4524555
g__Arthrobacter,0.39619094,0.3229368,0.44649342,0.19564827,0.0030721396,0.0020792047,0.004681281,0.007966049,0.0070213005,0.00802398,0.004525446,0.29604462,0.27050966,33.26744,0.27642348,0.10801247,0.37782782,0.22919331,0.17091459,0.28882307,0.25498474,0.3700671,0.39111102,0.16219306
g__Streptomyces,1.859127,1.7756419,1.9287845,1.7088754,0.10584916,0.06248557,0.06360436,0.06799592,0.20559247,0.07307553,0.073277414,1.7620898,1.5880508,2.6589816,1.4153874,1.6209586,2.0475452,1.9108818,2.100877,1.9971853,1.659491,2.2445664,2.1131039,1.9998796
Others,78.6794,79.41392,78.78169,79.390724,45.58623,49.67357,51.22679,64.52773,65.736626,61.185482,60.169853,79.03391,82.76985,58.929596,43.483402,41.731373,80.67774,84.48378,83.2905,84.74524,79.5937,84.28273,79.907814,80.34464
