genus,luciana_01_EuPathDB,luciana_01_GTDB,luciana_01_PlusPFP,luciana_02_EuPathDB,luciana_02_GTDB,luciana_02_PlusPFP,luciana_03_EuPathDB,luciana_03_GTDB,luciana_03_PlusPFP,luciana_04_EuPathDB,luciana_04_GTDB,luciana_04_PlusPFP,luciana_05_EuPathDB,luciana_05_GTDB,luciana_05_PlusPFP,luciana_06_EuPathDB,luciana_06_GTDB,luciana_06_PlusPFP,luciana_07_EuPathDB,luciana_07_GTDB,luciana_07_PlusPFP,luciana_08_EuPathDB,luciana_08_GTDB,luciana_08_PlusPFP,luciana_09_EuPathDB,luciana_09_GTDB,luciana_09_PlusPFP,luciana_10_EuPathDB,luciana_10_GTDB,luciana_10_PlusPFP,luciana_11_EuPathDB,luciana_11_GTDB,luciana_11_PlusPFP,luciana_12_EuPathDB,luciana_12_GTDB,luciana_12_PlusPFP,luciana_13_EuPathDB,luciana_13_GTDB,luciana_13_PlusPFP,luciana_14_EuPathDB,luciana_14_GTDB,luciana_14_PlusPFP,luciana_15_EuPathDB,luciana_15_GTDB,luciana_15_PlusPFP,luciana_16_EuPathDB,luciana_16_GTDB,luciana_16_PlusPFP,luciana_17_EuPathDB,luciana_17_GTDB,luciana_17_PlusPFP,luciana_18_EuPathDB,luciana_18_GTDB,luciana_18_PlusPFP,luciana_19_EuPathDB,luciana_19_GTDB,luciana_19_PlusPFP,luciana_27_EuPathDB,luciana_27_GTDB,luciana_27_PlusPFP,luciana_28_EuPathDB,luciana_28_GTDB,luciana_28_PlusPFP,luciana_32_EuPathDB,luciana_32_GTDB,luciana_32_PlusPFP,luciana_34_EuPathDB,luciana_34_GTDB,luciana_34_PlusPFP,luciana_35_EuPathDB,luciana_35_GTDB,luciana_35_PlusPFP
g__Homo,0.0,0.00033829728,9.691981,0.0,0.0,21.873877,0.0,0.0,14.252208,0.0,0.0,12.660893,0.0,9.9517936e-05,10.299309,0.0,0.0,11.976151,0.0,0.0,10.335091,0.0,0.00061743,9.325305,0.0,0.0,10.649471,0.0,0.0,9.740149,0.0,0.00038310286,9.669973,0.0,0.00013207179,10.168876,0.0,0.0,6.4743137,0.0,0.0,49.18625,0.0,0.0,43.88021,0.0,0.0,39.823463,0.0,0.0,46.39433,0.0,0.0,60.87393,0.0,0.0,65.27005,0.0,0.00021398065,20.934359,0.0,0.0,41.254917,0.0,0.0,64.13724,0.0,0.0,20.36862,0.0,0.0,27.857012
g__Aspergillus,10.0418415,0.00033829728,0.26553375,7.8003125,0.0009071329,0.26051024,13.988657,0.0007557194,0.6760485,8.633094,0.0009764576,0.46805525,5.882353,0.0030850559,0.10085729,9.055983,0.0030428646,0.14253186,7.276119,0.002500647,0.0473338,6.0930233,0.0028813402,0.0508969,7.631318,0.0,0.031764183,6.002265,0.00063887355,0.042832665,4.709345,0.0030648229,0.05282,12.16,0.0006603589,0.38133284,7.941177,0.0008085338,0.33427164,7.68559,0.000115435054,0.18801409,7.587253,0.0004702032,0.14719203,5.0179214,0.000269741,0.17084283,18.666666,0.0,0.0,52.272724,0.0,0.0,50.943398,0.0,0.589198,19.43463,0.0,0.18923713,17.419355,0.0,1.0600102,41.439205,0.0,1.9909842,6.735751,0.0,0.16540644,17.252396,0.0,1.7781072
g__Acanthamoeba,12.552301,0.0027063782,0.0,14.508579,0.0024622178,0.0,15.122874,0.0026450178,0.0,13.309352,0.0013019434,0.0,3.2037816,0.0002985538,0.0,4.3358946,0.0,0.0,2.5497513,0.0,0.0,2.6511629,0.000102905,0.0,0.5946482,0.0,0.0,2.2650058,0.0,0.0,2.5754232,0.00038310286,0.0,14.24,0.0039621536,0.0,10.882353,0.0010780451,0.0,15.021833,0.0026550062,0.0,12.59484,0.00070530485,0.0,16.666668,0.002157928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01687238,0.0,12.367492,0.0,0.0,10.645162,0.0014343909,0.0,6.9478908,0.0060441503,0.0,20.72539,0.001318322,0.0,27.47604,0.0,0.0
g__,3.3472803,5.2672887,1.0355816,2.4961,5.2427096,0.7905139,1.5122874,5.1483383,1.0899558,3.9568346,5.263757,1.5445822,1.8382354,2.254977,1.1109133,1.3721186,2.2870638,1.394031,3.1716418,2.6954799,1.3139211,4.465116,3.4030688,1.168146,5.2527256,2.771616,1.1159816,6.115515,2.3699014,1.4106225,3.0169244,2.9232664,0.9683667,2.08,5.410585,1.0078083,3.529412,5.7573,1.1435609,2.2707424,2.5385323,0.90775555,2.5796661,2.355248,0.464221,3.2258062,2.0729597,0.6833713,0.0,6.275529,1.0421009,0.0,5.080771,2.5113008,0.0,6.337526,0.0,1.0600706,5.680758,0.3903016,0.32258064,5.206361,0.4274235,0.0,4.516375,0.5634861,0.0,5.199462,0.73251414,0.0,5.6679564,1.0001853
g__Rhizophagus,1.6736401,0.0,0.10621349,3.1201248,0.0,3.4225657,2.8355389,0.0,1.1727374,0.7194245,0.0,0.88930494,14.968488,0.0,11.647533,17.727772,0.0,12.551494,10.696518,0.0,6.096267,19.11628,0.0,12.5405,1.6848365,0.0,0.6246956,2.3782558,0.0,0.513992,4.341428,0.0,0.67883486,2.08,0.0,0.16342837,1.764706,0.0,0.21111894,0.52401745,0.0,0.07638073,1.8209409,0.0,0.15002264,1.0752689,0.0,0.1309795,10.666667,0.0,0.50020844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258062,0.0,0.034193877,0.0,0.0,0.0,0.5181347,0.0,0.37807184,0.31948882,0.0,0.7593999
g__Phytophthora,10.460251,0.00033829728,0.0,5.7722306,0.0,0.0,5.293006,0.00018892984,0.0,7.194245,0.0013019434,0.0,2.9411764,0.0004975897,0.0,1.0428101,0.0,0.0,2.6741295,0.0018483042,0.0,2.5581396,0.0037045805,0.0,5.054509,0.00049076864,0.0,1.8120044,0.0,0.0,3.311258,0.0021070659,0.0,8.8,0.0006603589,0.0,6.764706,0.0008085338,0.0,8.209607,0.0,0.0,6.5250382,0.0001175508,0.0,5.1971326,0.000269741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.207547,0.0,0.0,12.720849,0.0,0.0,4.516129,0.0,0.0,0.24813895,0.0,0.0,15.025907,0.0,0.0,0.0,0.0,0.0
g__JAJNBK01,0.0,0.8075156,0.0,0.0,1.2876104,0.0,0.0,1.3565164,0.0,0.0,0.6649676,0.0,0.0,20.97649,0.0,0.0,20.396322,0.0,0.0,18.053692,0.0,0.0,12.297046,0.0,0.0,13.738577,0.0,0.0,15.4901285,0.0,0.0,14.400071,0.0,0.0,0.8393162,0.0,0.0,0.47514835,0.0,0.0,0.07434018,0.0,0.0,0.38627195,0.0,0.0,0.16076563,0.0,0.0,1.320846,0.0,0.0,0.96114874,0.0,0.0,0.8072785,0.0,0.0,0.2794587,0.0,0.0,0.9978579,0.0,0.0,0.4570307,0.0,0.0,1.0207108,0.0,0.0,0.8450497,0.0
g__Pseudomonas_E,0.0,0.7449306,0.0,0.0,0.34678394,0.008983112,0.0,0.34649733,0.0,0.0,0.34534052,0.0,0.0,0.03423417,0.01631515,0.0,0.033354476,0.027811093,0.0,0.036966085,0.0048966003,0.0,0.042911388,0.012413878,0.0,0.052757632,0.0042352243,0.0,0.025554942,0.017133066,0.0,0.035437018,0.005868889,0.0,0.76165795,0.009079354,0.0,0.513419,0.0,0.0,2.0021055,0.0029377202,0.0,50.920307,0.002830616,0.0,56.064045,0.0,0.0,0.49546826,0.0,0.0,0.5037346,0.0,0.0,0.40104347,0.0,0.0,0.47589293,0.0,0.0,0.41023582,0.0,0.0,2.4650834,0.0,0.0,0.48777917,0.0,0.0,0.49968156,0.0
g__Globisporangium,5.4393306,0.00033829728,0.0,5.928237,0.0007775425,0.0,8.31758,0.0,0.0,4.676259,0.0009764576,0.0,1.7857144,0.0,0.0,3.4028542,0.0,0.0,0.74626863,0.0,0.0,0.9767442,0.0,0.0,2.5768087,0.0,0.0,0.6795017,0.0,0.0,1.1037527,0.0,0.0,3.04,0.00039621536,0.0,6.764706,0.00053902256,0.0,10.567686,0.0,0.0,4.552352,0.0001175508,0.0,2.329749,0.000269741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867924,0.0,0.0,13.427562,0.0,0.0,3.548387,0.00047813033,0.0,0.0,0.0,0.0,11.398964,0.0,0.0,1.5974442,0.0,0.0
g__Malassezia,0.0,0.0010148919,0.053106744,0.3120125,0.0,0.089831114,0.18903592,0.0,0.12417219,0.35971224,0.0,0.023402762,0.105042025,0.0,0.008899172,0.43907794,0.0,0.0,0.31094527,0.00043489513,0.008161,0.0,0.0018522902,0.0049655517,0.0,0.0012269217,0.0,0.0,0.0,0.0028555111,0.0,0.00134086,0.0,0.16,0.0,0.10895224,0.0,0.0,0.10555947,6.2008734,0.00046174022,1.4835488,5.1593323,0.0,1.415308,12.724013,0.000539482,1.7084281,17.333334,0.0,0.12505211,6.818182,0.0,0.5524862,0.0,0.0,0.0,9.540636,0.0,0.9698403,18.064516,0.0,1.1113011,2.9776676,0.0,0.3631355,1.0362694,0.0,0.33081287,0.0,0.0,1.5558436
