phylum,luciana_01,luciana_02,luciana_03,luciana_04,luciana_05,luciana_06,luciana_07,luciana_08,luciana_09,luciana_10,luciana_11,luciana_12,luciana_13,luciana_14,luciana_15,luciana_16,luciana_17,luciana_18,luciana_19,luciana_27,luciana_28,luciana_32,luciana_34,luciana_35
p__Pseudomonadota,25.190002,23.81193,24.166502,22.771534,2.7491922,2.741705,3.162409,4.152683,3.9209578,4.304579,3.667352,25.37412,27.726974,16.708542,65.34319,69.87892,26.623955,30.344915,29.569471,28.193335,25.81616,35.19933,25.800333,27.630598
p__Actinomycetota,20.60627,24.095043,26.806921,17.624702,0.4423881,0.38191703,0.4878709,0.51589656,0.6997165,0.6393393,0.6643703,20.996275,16.4629,58.477516,15.045174,10.9997835,26.249647,22.448292,22.598152,19.672318,18.950151,33.821087,24.848217,18.315178
p__Thermoproteota,3.3230643,4.4682713,4.947549,2.7980912,59.870224,55.252785,52.390152,36.510773,35.804466,41.434402,42.97346,3.460184,2.0853114,0.33145753,1.4777547,0.5994692,3.7020087,3.0737216,2.5774417,1.4306719,3.9102304,1.5818466,3.9682825,3.7493982
p__Bacteroidota,5.5226417,4.3562007,3.7802982,4.24236,17.471535,22.590996,23.950758,33.567226,32.139786,27.196995,26.345058,5.64618,7.4138217,2.136947,1.6166996,2.305809,2.86539,5.0478773,5.590279,4.786901,4.7299905,2.9193683,3.4092274,4.961784
p__Acidobacteriota,19.028849,15.104381,12.995789,21.583212,0.92061776,0.76810193,1.1329718,1.6340833,0.74381906,0.6851906,1.4279523,18.300007,18.973866,2.380881,3.0866725,1.8657869,13.742608,15.367201,14.175929,18.242065,19.747616,6.399431,16.880793,17.70372
p__Bacillota,2.0704064,2.3298678,2.470423,2.4276423,6.5670238,6.26333,6.40674,6.967448,9.091707,9.122692,8.147892,2.2838101,2.3595338,6.1357355,2.1229684,2.657364,2.2657936,2.092268,2.3928041,2.5945764,2.811799,3.2433445,2.4918709,3.7000482
p__Chloroflexota,5.514965,6.12495,5.978692,6.627986,1.2669317,1.3535621,1.5193809,2.944688,0.87305486,0.8336342,1.7151442,4.9341636,5.1842384,1.7121977,1.7519226,1.2696608,4.762743,3.5475752,3.456966,4.2504253,4.3073378,2.8236072,4.5542994,4.851649
p__Planctomycetota,3.6094432,3.6577382,3.6317155,3.7205245,0.19382407,0.19150569,0.22775449,0.32366818,0.21063901,0.1948681,0.2631721,3.4664278,3.5996351,1.7035452,1.3840346,1.2804621,3.3007133,3.1018434,2.996619,4.30966,3.3064413,2.500526,3.5170753,3.1228936
p__Gemmatimonadota,3.9902806,3.4168758,3.0319843,4.312601,0.032397106,0.036112502,0.033786636,0.03338154,0.03839774,0.042125896,0.06405247,3.9370294,4.005665,0.8168853,0.8678411,0.6563043,3.243218,3.198864,4.312786,3.972315,3.2818253,2.0132186,3.6457133,4.2711844
p__Streptophyta,0.6325037,0.5908595,0.6068065,0.6623175,4.1783886,3.9834275,4.4382615,5.0882196,8.012621,7.852038,7.0116563,0.7016102,0.841232,0.7808331,0.5229603,1.0173745,0.5045527,0.66508245,0.7198373,0.7477892,0.6971441,0.30562976,0.5895901,0.56271064
Others,10.511581,12.043887,11.583313,13.229033,6.307472,6.436559,6.249916,8.261936,8.464834,7.694141,7.7198834,10.900193,11.346815,8.815465,6.780781,7.4690604,12.739369,11.112364,11.609716,11.799949,12.441304,9.192608,10.2946005,11.130843
