genus,luciana_20,luciana_21,luciana_22,luciana_23,luciana_29,luciana_30,luciana_31,luciana_33,luciana_36,luciana_37
g__,5.5665298,5.491789,5.2681847,4.7644253,5.6354113,5.993418,5.778407,5.66062,5.137761,5.4329753
g__PSRF01,5.351008,6.1405616,8.8283825,8.713886,4.3393393,3.1911485,4.5743732,4.1877894,6.346277,2.6228356
g__Rubrobacter_F,3.1768773,4.4765716,5.3781347,5.3895245,3.579955,2.9742365,3.6198263,3.7630205,3.1865764,0.44376695
g__Streptomyces,2.3197076,2.1248527,1.5824387,1.3843471,2.59711,3.016446,2.9436226,2.6402035,2.5782871,2.2836707
g__Rubrobacter_D,1.3218797,1.9295474,1.4928994,1.6715026,1.8610265,1.7181002,1.5609947,1.8659154,1.1789527,0.32187513
g__Defluviilinea,1.437942,1.4347477,2.188225,2.4380364,0.8292875,0.7597786,1.0043081,0.8851836,1.0064995,0.60340774
g__Cutibacterium,0.0451951,0.029051496,0.07374958,0.080360696,0.03819841,0.065269046,0.04476215,0.090597644,2.295195,9.583637
g__Brevundimonas,0.2537997,0.23531711,0.19602369,0.16929321,0.25554737,0.1879905,0.33151257,0.1975326,1.974029,7.5889907
g__Gp6-AA40,1.1770711,1.1715676,0.7552111,1.0457606,1.753307,1.3858925,1.1699507,1.3168839,0.79910773,0.69705987
g__Homo,0.5408039,0.68469095,1.1934723,0.59852654,0.29680166,0.34666854,0.39717886,0.3668462,1.1570041,4.367358
Others,78.80776,76.28135,73.04039,73.74277,78.81212,80.35807,78.57808,79.0276,74.33972,66.05634
