genus,luciana_20_EuPathDB,luciana_20_GTDB,luciana_20_PlusPFP,luciana_21_EuPathDB,luciana_21_GTDB,luciana_21_PlusPFP,luciana_22_EuPathDB,luciana_22_GTDB,luciana_22_PlusPFP,luciana_23_EuPathDB,luciana_23_GTDB,luciana_23_PlusPFP,luciana_29_EuPathDB,luciana_29_GTDB,luciana_29_PlusPFP,luciana_30_EuPathDB,luciana_30_GTDB,luciana_30_PlusPFP,luciana_31_EuPathDB,luciana_31_GTDB,luciana_31_PlusPFP,luciana_33_EuPathDB,luciana_33_GTDB,luciana_33_PlusPFP,luciana_36_EuPathDB,luciana_36_GTDB,luciana_36_PlusPFP,luciana_37_EuPathDB,luciana_37_GTDB,luciana_37_PlusPFP
g__Homo,0.0,0.0,25.023117,0.0,0.0,30.192745,0.0,0.0,34.953754,0.0,0.0,21.10473,0.0,0.0,18.659943,0.0,0.0,22.258469,0.0,0.0,18.489529,0.0,0.0,22.279015,0.0,0.0,42.198986,0.0,0.0,58.97047
g__Aspergillus,6.508135,0.0,0.86777157,3.4303534,0.00013529218,0.617248,27.272728,0.0,0.9248816,5.720572,0.0,2.4029016,0.0,0.0,0.024015369,8.5,0.00039733155,0.87829363,5.026455,0.0030213448,0.0,8.717949,0.0,0.39085987,10.033445,0.0,0.0326744,89.01099,0.0,3.1360648
g__Acanthamoeba,13.76721,0.00047195412,0.0,4.989605,0.00933516,0.0,14.090909,0.002995728,0.0,11.881188,0.0,0.0,15.789473,0.0007766598,0.0,6.5,0.0019866577,0.0,24.338623,0.011155734,0.0,8.205129,0.000503852,0.0,12.374582,0.0036895436,0.0,0.2747253,0.0,0.0
g__Phytophthora,5.131414,0.0,0.0,2.079002,0.0,0.0,2.6136363,0.0,0.0,4.4004397,0.0,0.0,17.54386,0.0,0.0,3.5,0.00039733155,0.0,0.52910054,0.0,0.0,20.0,0.0,0.0,17.725752,0.0,0.0,0.2747253,0.0,0.0
g__,0.5006258,5.674619,0.9673519,0.0,5.609079,0.75117916,0.0,5.4262624,1.0658696,0.110011004,4.8596363,1.8286232,0.877193,5.7134976,0.93659943,4.5,6.07798,0.72772896,0.52910054,5.9041724,0.26443833,0.0,5.743408,1.0523151,0.0,5.2682066,0.76784843,0.0,5.871687,0.031127192
g__Malassezia,2.0025032,0.0,0.0071128816,8.835759,0.001488214,0.84434867,0.0,0.0,0.10715091,0.0,0.0,0.0075562946,0.877193,0.0,1.4409221,21.0,0.0,0.8531995,15.079366,0.0,0.0,2.0512822,0.0,0.0,0.0,0.0,2.5976148,0.0,0.0,4.0776625
g__PSRF01,0.0,5.4760838,0.0,0.0,6.2912216,0.0,0.0,9.156543,0.0,0.0,8.986239,0.0,0.0,4.4114275,0.0,0.0,3.244212,0.0,0.0,4.6789007,0.0,0.0,4.262084,0.0,0.0,6.5341816,0.0,0.0,2.8358319,0.0
g__Streptomyces,0.0,2.3136764,2.7242336,0.0,2.0625293,4.9263377,0.0,1.5721582,1.9512745,0.0,1.3767865,1.7379477,0.0,2.5664725,4.5629206,0.0,3.001045,4.140527,0.0,2.9325635,3.5646286,0.0,2.6366572,3.0066144,0.0,2.5301044,4.411044,0.0,2.3790832,1.1244699
g__Globisporangium,0.0,0.0,0.0,20.47817,0.0,0.0,3.9772727,0.0,0.0,0.110011004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26455027,0.0,0.0,8.205129,0.0,0.0,8.361204,0.0,0.0,0.0,0.0,0.0
g__Chromera,6.1326656,0.0,0.0,9.77131,0.0,0.0,0.0,0.0,0.0,0.22002201,0.0,0.0,21.052631,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.51282054,0.0,0.0,0.6688963,0.0,0.0,0.0,0.0,0.0
g__Rubrobacter_F,0.0,3.2511346,0.0,0.0,4.586405,0.0,0.0,5.5780454,0.0,0.0,5.557974,0.0,0.0,3.639428,0.0,0.0,3.023693,0.0,0.0,3.7025418,0.0,0.0,3.8297787,0.0,0.0,3.2809265,0.0,0.0,0.47980458,0.0
g__Hyaloperonospora,0.0,0.0,0.0,0.0,0.0,0.0,1.590909,0.0,0.0,13.09131,0.0,0.0,8.77193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3578596,0.0,0.0,0.0,0.0,0.0
g__Eimeria,1.6270337,0.0,0.0,0.103950106,0.0,0.0,0.0,0.00019971521,0.0,21.122112,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.3227513,0.0,0.0,0.0,0.0,0.0,1.3377926,0.0,0.0,0.0,0.0,0.0
g__Triticum,0.0,0.0018878165,4.7656307,0.0,0.0,1.54312,0.0,0.0,3.0002255,0.0,0.0,3.1812,0.0,0.0,3.2180595,0.0,0.00039733155,2.6097867,0.0,0.0,3.9348423,0.0,0.0,3.2772098,0.0,0.0,1.4376736,0.0,0.0,0.14785416
g__Trypanosoma,0.8760952,0.0,0.0,5.7172556,0.0,0.0,0.3409091,0.0,0.0,0.0,0.0,0.0,0.877193,0.0,0.0,0.0,0.0007946631,0.27603513,3.4391534,0.00046482222,0.0,5.1282053,0.0045346674,0.0,0.0,0.0018447718,0.2940696,9.065934,0.0,0.0
Others,63.45431,83.28061,65.644806,44.594593,81.43817,61.12493,50.113632,78.261406,57.9968,43.344334,79.22076,69.73704,34.21053,83.67059,71.15746,51.0,84.6465,68.25592,49.470894,82.76677,73.746574,47.179504,83.51993,69.99404,42.140472,82.38028,48.26007,1.3736265,88.43673,32.51237
