genus,luciana_26_EuPathDB,luciana_26_GTDB,luciana_26_PlusPFP,luciana_38_EuPathDB,luciana_38_GTDB,luciana_38_PlusPFP
g__Homo,0.0,0.0,66.81644,0.0,0.00012536497,11.255065
g__Acinetobacter,0.0,6.5889587,4.14401,0.0,34.94724,29.35036
g__Aspergillus,54.026352,0.0,1.0875164,17.585693,0.0,0.706128
g__Aurantimicrobium,0.0,20.365677,0.008585656,0.0,25.830448,0.06754267
g__Cyphellophora,27.96486,0.0,0.0,0.89418775,0.0,0.0
g__Cutibacterium,0.0,9.431283,7.655544,0.0,0.18115237,0.89033526
g__Paracoccus,0.0,3.0777469,1.7571976,0.0,2.8480415,9.259487
g__Brevundimonas,0.0,8.134482,2.873333,0.0,0.40605715,0.43595725
g__Sporothrix,0.0,0.0,0.0,11.624441,0.0,0.0
g__Malassezia,8.63836,0.0,2.3925362,0.0,0.0,0.17806704
g__Trichoderma,0.0,0.0,0.14023238,7.451565,0.0,0.98243886
g__Schizosaccharomyces,7.4670568,0.0,0.0,0.7451565,0.0,0.0061402433
g__Theobroma,0.0,0.0,0.0,0.0,0.0,8.07442
g__Scedosporium,0.0,0.0,0.0,8.04769,0.0,0.0
g__,0.14641288,3.077028,0.174575,0.7451565,1.7803079,1.0131401
Others,1.7569544,49.323734,12.950042,52.906116,34.00639,37.780964
